url	first_seen	portal	title	company	status	location	fingerprint	posted_at	trust_score	trust_flags	normalized_company
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Remote/Applied-AI-Engineer_JR2018179-3	2026-07-28	workday-api	Applied AI Engineer	NVIDIA	added	6 Locations		2026-07-28			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Applied-AI-Engineer--Product-Simulation_JR2018441	2026-07-28	workday-api	Senior Applied AI Engineer, Product Simulation	NVIDIA	added	US, CA, Santa Clara		2026-07-28			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Engagement-Tech-Lead--Agentic-AI_JR2021353	2026-07-28	workday-api	Engagement Tech Lead, Agentic AI	NVIDIA	added	2 Locations		2026-07-28			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Applied-Agentic-AI-Lead--Partner-Co-Design_JR2021355	2026-07-28	workday-api	Applied Agentic AI Lead, Partner Co-Design	NVIDIA	added	2 Locations		2026-07-28			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Deep-Learning-Scientist--Multimodal-Agentic-RL_JR2022039	2026-07-28	workday-api	Senior Deep Learning Scientist, Multimodal Agentic RL	NVIDIA	added	2 Locations		2026-07-27			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-System-Software-Engineer--Agentic-Inference---Dynamo_JR2021665-1	2026-07-28	workday-api	Senior System Software Engineer, Agentic Inference - Dynamo	NVIDIA	added	2 Locations		2026-07-27			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Applied-LLM-Engineer--AI---Chip-Design_JR1989138	2026-07-28	workday-api	Senior Software Engineer - Agentic AI	NVIDIA	added	US, CA, Santa Clara		2026-07-27			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Harness-and-Platform-Engineer--AI-Safety-and-Security-Engineering_JR2021886	2026-07-28	workday-api	Harness and Platform Engineer, AI Safety and Security Engineering	NVIDIA	added	6 Locations		2026-07-26			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Platform-Engineer--Network-Infrastructure---DGX-Cloud_JR2021436	2026-07-28	workday-api	Senior Platform Engineer, Network Infrastructure - DGX Cloud	NVIDIA	added	6 Locations		2026-07-26			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-WA-Seattle/Research-Scientist--Robotics-Research----PhD-New-College-Grad-2026_JR2011473	2026-07-28	workday-api	Research Scientist, Robotics Research - PhD New College Grad 2026	NVIDIA	added	US, WA, Seattle		2026-07-24			nvidia
